web-scraper-order,web-scraper-start-url,link,link-href,category,title,price,description,style id,colour,material,manufacturing,detailed
"1573329540-11962","https://www.nike.com/sg/w/womens-sports-bras-40qgmz5e1x6","Nike Indy","https://www.nike.com/sg/t/indy-light-support-sports-bra-GtpngS/878615-091","Women's Light-Support Sports Bra","Nike Indy","$39","The Nike Indy Sports Bra offers light support during low-impact, high-energy workouts such as Pilates, barre and yoga. The low-cut design and thin, adjustable straps provide feminine detail, while the back mesh panel offers breathability.","Style: 878615-091","Colour Shown: Carbon Heather/Anthracite/Black/Black","Pads provide light support and natural definition.","Country/Region of Origin: Sri Lanka","LIGHTWEIGHT SOFTNESS, LIMITLESS MOVEMENT.
The Nike Indy Sports Bra offers light support during low-impact, high-energy workouts such as Pilates, barre and yoga. The low-cut design and thin, adjustable straps provide feminine detail, while the back mesh panel offers breathability.
BenefitsDri-FIT Technology helps keep you dry and comfortable.Soft, low-profile elastic straps provide an adjustable fit.Pads provide light support and natural definition.Mesh back panel offers breathability in a high-heat zone.
Product DetailsTight fit for a body-hugging feelFabric: Body/lining: 88% recycled polyester/12% elastane. Centre back mesh/bottom hem: 81% nylon/19% elastane. Elastic: 84–85% nylon/15–16% elastane. Interlining: 80% polyester/20% elastane. Pad top fabric/pad back fabric: 100% polyester. Pad: 100% polyurethane.Machine washImportedNote: Material percentages may vary. Check label for actual content.Colour Shown: Carbon Heather/Anthracite/Black/BlackStyle: 878615-091Country/Region of Origin: Sri Lanka
MADE FROM SUSTAINABLE MATERIALSThis product is made from at least 50% recycled polyester fabric. The material comes from plastic bottles that Nike has diverted from landfill since 2010—bringing Nike's total to more than 6 billion."
"1573329670-11976","https://www.nike.com/sg/w/womens-sports-bras-40qgmz5e1x6","Nike Indy","https://www.nike.com/sg/t/indy-light-support-sports-bra-dzc8ZD/BQ4811-629","Women's Light-Support Sports Bra","Nike Indy","null","The Nike Indy Sports Bra delivers breathable style with a deep V-neck and criss-cross design at the shoulders. It's designed for light support for activities such as yoga, Pilates and barre.","Style: BQ4811-629","Colour Shown: Pink Rise/Laser Fuchsia/White","Straps criss-cross at the shoulders and meet with a third strap in the middle of the back for added support.","null","SWEAT-WICKING STRAPPY STYLE.
The Nike Indy Sports Bra delivers breathable style with a deep V-neck and criss-cross design at the shoulders. It's designed for light support for activities such as yoga, Pilates and barre.
BenefitsDri-FIT Technology helps keep you dry and comfortable.Strappy design creates a feminine look.Straps criss-cross at the shoulders and meet with a third strap in the middle of the back for added support.Fabric-encased elastic chestband creates a smooth, secure fit.
Product DetailsTight fit for a body-hugging feelFabric: Body: 88% recycled polyester/12% elastane. Elastic: 57% nylon/29% recycled polyester/14% elastane. Bottom hem: 87% nylon/13% elastane. Lining: 80% polyester/20% elastane. Pad top fabric/pad back fabric: 100% polyester. Pad: 100% polyurethane.Machine washImportedColour Shown: Pink Rise/Laser Fuchsia/WhiteStyle: BQ4811-629Country/Region of Origin: Sri Lanka
MADE FROM SUSTAINABLE MATERIALSThis product is made from at least 50% recycled polyester fabric. The material comes from plastic bottles that Nike has diverted from landfill since 2010—bringing Nike's total to more than 6 billion."
"1573329548-11964","https://www.nike.com/sg/w/womens-sports-bras-40qgmz5e1x6","Nike Swoosh","https://www.nike.com/sg/t/swoosh-support-sports-bra-T8LQR0/BV3562-657","Women's Medium-Support Sports Bra","Nike Swoosh","$55","The Nike Swoosh Sports Bra features sweat-wicking fabric with dynamic lines for a standout look in the gym or studio. Mesh inserts and shoulder cut-outs enhance ventilation and breathability.","Style: BV3562-657","Colour Shown: University Red/Black","Medium support is ideal for gym workouts, spin, cross-training and running.","null","FINESSE YOUR WORKOUT.
The Nike Swoosh Sports Bra features sweat-wicking fabric with dynamic lines for a standout look in the gym or studio. Mesh inserts and shoulder cut-outs enhance ventilation and breathability.
BenefitsDri-FIT Technology moves sweat from your skin for quicker evaporation to help you stay dry and comfortable.High-neck design with mesh insets and slashed cut-outs on the shoulder and chestband provides ventilation and breathability.Medium support is ideal for gym workouts, spin, cross-training and running.Removable pads add versatility.
Product DetailsTight fit for a body-hugging feelFabric: Body: 88% recycled polyester/12% elastane. Mesh panels: 78% nylon/22% elastane. Bottom hem: 86% nylon/14% elastane. Mesh lining: 80% polyester/20% elastane. Pad top fabric/pad back fabric: 100% polyester. Pad: 100% polyurethane.Machine washImportedColour Shown: University Red/BlackStyle: BV3562-657Country/Region of Origin: Sri Lanka"
"1573329623-11973","https://www.nike.com/sg/w/womens-sports-bras-40qgmz5e1x6","Nike Indy","https://www.nike.com/sg/t/indy-light-support-sports-bra-JZnj9r/AQ0141-010","Women's Light-Support Sports Bra","Nike Indy","$79","The Nike Indy Sports Bra feels incredibly soft and gives you light support during low-impact workouts. A one-piece pad and bonded seams offer cushioning and a smooth feel. It's lightly padded for enhanced coverage and shaping so you can tackle your workout with confidence.","Style: AQ0141-010","Colour Shown: Black/White","Adjustable straps let you personalise your fit.","Country/Region of Origin: Vietnam","SUPER-SOFT SUPPORT.
The Nike Indy Sports Bra feels incredibly soft and gives you light support during low-impact workouts. A one-piece pad and bonded seams offer cushioning and a smooth feel. It's lightly padded for enhanced coverage and shaping so you can tackle your workout with confidence.
BenefitsDri-FIT Technology helps you stay dry and comfortable.Light support is ideal for yoga, Pilates, barre and everyday activities.Adjustable straps let you personalise your fit.Bonded seams have a smooth feel.
Product DetailsTight fit for a body-hugging feelFabric (XS, S, M): Body/panels lining 72% nylon/28% elastane. Pad top fabric/pad back fabric: 100% polyester. Pad: 100% polyurethane.Fabric (L, 1X): Body: 72% nylon/28% elastane. Panels lining/pad top fabric/pad back fabric: 100% polyester. Pad: 100% polyurethane.Machine washImportedColour Shown: Black/WhiteStyle: AQ0141-010Country/Region of Origin: Vietnam"
"1573329511-11956","https://www.nike.com/sg/w/womens-sports-bras-40qgmz5e1x6","Nike x Koché","https://www.nike.com/sg/t/koche-bra-Q0tjq0/CJ7685-702","Women's Bra","Nike x Koché","$89","Christelle Kocher's fascination with art and vibrant design comes together on the Nike x Koché Bra. Stretchy, sweat-wicking fabric mixes with bright colours for a look that stands out. It's lightly padded for enhanced coverage and shaping so you can tackle your workout with confidence.","Style: CJ7685-702","Colour Shown: Volt/Black","Removable pads","Machine wash","BRIGHT, STRETCHY, SUPPORTIVE.
Christelle Kocher's fascination with art and vibrant design comes together on the Nike x Koché Bra. Stretchy, sweat-wicking fabric mixes with bright colours for a look that stands out. It's lightly padded for enhanced coverage and shaping so you can tackle your workout with confidence.
BenefitsDri-FIT Technology helps you stay dry, comfortable and focusedThe stretchy fabric provides support that moves with you.
Product DetailsMedium supportRacerback strapsRemovable padsRubberised Swoosh design trademarkSublimated Koché graphic on the front chestElastic Koché x Nike Swoosh chestbandFabric: Body/lining: 88% recycled polyester/12% elastane. Bottom hem: 66% nylon/24% polyester/10% elastane. Interlining: 80% polyester/20% elastane. Pad top fabric/pad back fabric: 100% polyester. Pad: 100% polyurethane.Machine washImportedColour Shown: Volt/BlackStyle: CJ7685-702Country/Region of Origin: Sri Lanka"
"1573329533-11960","https://www.nike.com/sg/w/womens-sports-bras-40qgmz5e1x6","Nike Gyakusou","https://www.nike.com/sg/t/gyakusou-support-bra-6XnTcW/AH1189-402","Women's Medium Support Bra","Nike Gyakusou","null","The Nike Gyakusou Women's Medium Support Bra is made to move with sweat-wicking fabric. Its breathable, distraction-free design reflects Japanese designer Jan Takahashi's meditative aesthetic.","Style: AH1189-402","Colour Shown: Armoury Navy/Velvet Brown/Anthracite","Reflective elements help you stand out from the pack","Colour Shown: Armoury Navy/Velvet Brown/Anthracite","SWEAT-WICKING SUPPORT
The Nike Gyakusou Women's Medium Support Bra is made to move with sweat-wicking fabric. Its breathable, distraction-free design reflects Japanese designer Jan Takahashi's meditative aesthetic.
BenefitsDri-FIT technology helps you stay dry and comfortableRemovable cups and Flyvent chest band provide medium supportReflective elements help you stand out from the packRacerback design allows you to move freely
Product DetailsFabric: Body: 87% nylon/13% elastane. Flocking: 100% nylon. Mesh: 78% polyester/22% elastane. Bottom hem: 86% nylon/14% elastane. Lining: 87% nylon/13% elastane. Interlining: 80% recycled polyester/20% elastane. Pad top fabric: 100% polyester. Pad: 100% polyurethane. Pad back fabric: 100% polyester.Machine washImportedColour Shown: Armoury Navy/Velvet Brown/AnthraciteStyle: AH1189-402Country/Region of Origin: Cambodia
Nike Gyakusou CollectionDesigner and Undercover founder Jun Takahashi blends his classic aesthetic and running expertise in the Nike Gyakusou Collection. This enduring collaboration helps runners reach zen-like focus by diminishing distraction and reducing the severity of warm-weather runs. Tonally muted performance silhouettes offer lightweight packability, clean graphics and Nike fabric technology to create a futuristic kit for the running monk."
"1573329682-11979","https://www.nike.com/sg/w/womens-sports-bras-40qgmz5e1x6","Nike Indy","https://www.nike.com/sg/t/indy-light-support-sports-bra-fJM4HV/BV3779-682","Women's Light-Support Sports Bra","Nike Indy","$55","The lightweight, quick-drying Nike Indy Women's Sports Bra is designed for women of all shapes and sizes who heat up during low-impact activities like yoga, barre and Pilates. It's lightly padded for enhanced coverage and shaping so you can tackle your workout with confidence.","Style: BV3779-682","Colour Shown: Echo Pink/Black","Removable pads add versatility.","null","YOUR LOW-IMPACT SUPPORT ESSENTIAL.
The lightweight, quick-drying Nike Indy Women's Sports Bra is designed for women of all shapes and sizes who heat up during low-impact activities like yoga, barre and Pilates. It's lightly padded for enhanced coverage and shaping so you can tackle your workout with confidence.
BenefitsSoft, Dri-FIT fabric moves sweat from your skin for quicker evaporation to help you stay dry, comfortable and focused.Design is longer for added coverage.Removable pads add versatility.Adjustable straps offer a personalised fit.
Product DetailsFabric: Body/lining: 88% recycled polyester/12% elastane. Centre-back mesh: 81% nylon/19% elastane. Bottom hem: 81% nylon/19% elastane. Elastic: 85% nylon/15% elastane. Interlining: 80% polyester/20% elastane. Pad top fabric/pad back fabric: 100% polyester. Pad: 100% polyurethane.Machine washImportedColour Shown: Echo Pink/BlackStyle: BV3779-682Country/Region of Origin: Sri Lanka
MADE FROM SUSTAINABLE MATERIALSThis product is made from at least 50% recycled polyester fabric. The material comes from plastic bottles that Nike has diverted from landfill since 2010—bringing Nike's total to more than 6 billion."
"1573329570-11969","https://www.nike.com/sg/w/womens-sports-bras-40qgmz5e1x6","Nike","https://www.nike.com/sg/t/high-support-sports-bra-CZ9kFD/BV3782-606","Women's High-Support Sports Bra","Nike","null","The Nike Sports Bra features ""smart"" fabric that increases support when you escalate to higher-impact activities, making it ideal for all-day wear before and after your workouts. It's lightly padded for enhanced coverage and shaping so you can tackle your workout with confidence.","Style: BV3782-606","Colour Shown: Pink Quartz/Pink Quartz/Black","A key-hole opening on the back and mesh fabric increase breathability and ventilation.","null","SMART-FABRIC SUPPORT FOR HIGH-IMPACT TRAINING.
The Nike Sports Bra features ""smart"" fabric that increases support when you escalate to higher-impact activities, making it ideal for all-day wear before and after your workouts. It's lightly padded for enhanced coverage and shaping so you can tackle your workout with confidence.
BenefitsDri-FIT Technology moves sweat from your skin for quicker evaporation to help you stay dry and comfortable.Smart fabric ""locks out"" to optimise support during increased impact activities.A key-hole opening on the back and mesh fabric increase breathability and ventilation.Designed for high-impact activities such as football, tennis and basketball and ideal for large-cup sizes regardless of activity.
Product DetailsTight fit for a body-hugging feelFabric: Body: 81% nylon/19% elastane. Mesh panels: 81% polyester/19% elastane. Insets: 65% nylon/35% elastane. Elastic: 86% nylon/14% elastane. Panels lining: 100% polyester. Pad back fabric: 92% polyester/8% elastane.Machine washImportedColour Shown: Pink Quartz/Pink Quartz/BlackStyle: BV3782-606Country/Region of Origin: Vietnam"
"1573329726-11987","https://www.nike.com/sg/w/womens-sports-bras-40qgmz5e1x6","Nike Indy","https://www.nike.com/sg/t/indy-light-support-sports-bra-cSwD3f/BV4869-661","Women's Light-Support Sports Bra","Nike Indy","$59","The Nike Indy Sports Bra has a strappy design inspired by a nothing-but-net attitude from the basketball court. The shimmering chest band is all about classic hoops style.","Style: BV4869-661","Colour Shown: Cedar/Bleached Coral/Metallic Silver/Black","Machine wash","null","SLAM-DUNK STYLE.
The Nike Indy Sports Bra has a strappy design inspired by a nothing-but-net attitude from the basketball court. The shimmering chest band is all about classic hoops style.
BenefitsSoft Dri-FIT fabric helps you stay dry, comfortable and focused.Removable pads give you optional coverage.
Product DetailsDesigned for low-impact activities like yoga, Pilates and barre and everyday wearBody: 83% recycled polyester/17% elastane. Bottom hem: 66% nylon/22% polyester/12% elastane. Mesh: 80% polyester/20% elastane. Lining: 88% recycled polyester/12% elastane. Pad fabric: 100% polyester. Pad: 100% polyurethane.Machine washImportedColour Shown: Cedar/Bleached Coral/Metallic Silver/BlackStyle: BV4869-661Country/Region of Origin: Vietnam
MADE FROM SUSTAINABLE MATERIALSThis product is made from at least 50% recycled polyester fabric. The material comes from plastic bottles that Nike has diverted from landfill since 2010—bringing Nike's total to more than 6 billion."
"1573329699-11982","https://www.nike.com/sg/w/womens-sports-bras-40qgmz5e1x6","Nike Seamless","https://www.nike.com/sg/t/seamless-light-support-yoga-sports-bra-MgwT6q/AQ0124-661","Women's Light-Support Yoga Sports Bra","Nike Seamless","$55","The beauty of the Nike Seamless Sports Bra is its minimised silhouette. Ideal for yoga, Pilates and barre classes, it delivers seamless support and the feminine look of thin straps and a V-neck design.","Style: AQ0124-661","Colour Shown: Cedar/White","Seamless design feels smooth against your skin.","null","SEAMLESS SUPPORT.
The beauty of the Nike Seamless Sports Bra is its minimised silhouette. Ideal for yoga, Pilates and barre classes, it delivers seamless support and the feminine look of thin straps and a V-neck design.
BenefitsDri-FIT Technology helps keep you dry and comfortable.Thin straps and V-neck silhouette for a feminine look.Seamless design feels smooth against your skin.V-back strap design with a horizontal connecting strap lets you move freely.Removable pads provide enhanced coverage.
Product DesignTight fit for a body-hugging feelFabric: Body: 85% nylon/14% elastane/1% polyester. Binding: 84–85% nylon/14–15% elastane. Pad top fabric/pad back fabric: 100% polyester. Pad: 100% polyurethane.Machine washImportedColour Shown: Cedar/WhiteStyle: AQ0124-661Country/Region of Origin: China"
"1573329691-11981","https://www.nike.com/sg/w/womens-sports-bras-40qgmz5e1x6","Nike Classic Padded","https://www.nike.com/sg/t/classic-padded-support-sports-bra-RRT9ANl0/823313-010","Women's Medium-Support Sports Bra","Nike Classic Padded","$49","The Nike Classic Padded Bold Sports Bra offers medium support for a variety of training activities. It's lightly padded for enhanced coverage and shaping so you can tackle your workout with confidence.","Style: 823313-010","Colour Shown: Black/Black/White","Removable pads provide additional coverage and natural definition.","null","SWEAT-WICKING COMPRESSION.
The Nike Classic Padded Bold Sports Bra offers medium support for a variety of training activities. It's lightly padded for enhanced coverage and shaping so you can tackle your workout with confidence.
BenefitsDri-FIT Technology helps keep you dry and comfortable.Racerback design lets you move naturally.Removable pads provide additional coverage and natural definition.Compression fit for multi-directional support while you work out.Colour Shown: Black/Black/WhiteStyle: 823313-010Country/Region of Origin: Vietnam,Sri Lanka,China
MADE FROM SUSTAINABLE MATERIALSThis product is made from at least 50% recycled polyester fabric. The material comes from plastic bottles that Nike has diverted from landfill since 2010—bringing Nike's total to more than 6 billion."
