web-scraper-order,web-scraper-start-url,link,link-href,category,title,price,description,style id,colour,material,manufacturing,detailed
"1573329562-11966","https://www.nike.com/sg/w/womens-sports-bras-40qgmz5e1x6","Nike Swoosh Rebel","https://www.nike.com/sg/t/swoosh-rebel-pocket-support-sports-bra-ptB0G9/BV3777-011","Women's Pocket Medium-Support Sports Bra","Nike Swoosh Rebel","$69","The Nike Swoosh Rebel Women's Pocket Medium-Support Sports Bra provides breathability and support during medium-impact activities and features secure pockets in the chest strap for small items like a key, ID or pedometer.","Style: BV3777-011","Colour Shown: Black/Black/White","Covered chestband provides a lock-down feel and a crop-top look.","null","MEDIUM SUPPORT WITH SECURE, SMALL-ITEM POCKETS.
The Nike Swoosh Rebel Women's Pocket Medium-Support Sports Bra provides breathability and support during medium-impact activities and features secure pockets in the chest strap for small items like a key, ID or pedometer.
BenefitsDri-FIT Technology moves sweat from your skin for quicker evaporation to help you stay dry and comfortable.A centre-chest pocket plus 5 other small pockets strategically placed for comfort and convenience.Covered chestband provides a lock-down feel and a crop-top look.
Product DetailsFabric: Body/lining: 88% recycled polyester/12% elastane. Mesh panels/lower lining: 78% nylon/22% elastane. Bottom hem: 74% polyester/26% elastane. Pad top fabric/pad back fabric: 100% polyester. Pad: 100% polyurethane.Machine washImportedColour Shown: Black/Black/WhiteStyle: BV3777-011Country/Region of Origin: Sri Lanka
MADE FROM SUSTAINABLE MATERIALSThis product is made from at least 50% recycled polyester fabric. The material comes from plastic bottles that Nike has diverted from landfill since 2010—bringing Nike's total to more than 6 billion."
"1573329704-11983","https://www.nike.com/sg/w/womens-sports-bras-40qgmz5e1x6","Nike","https://www.nike.com/sg/t/support-sports-bra-5RbbQP/BV3765-639","Women's Medium-Support Sports Bra","Nike","$49","The Nike Sports Bra is designed for medium-impact sports such as cycling, running or light training in the gym. It is sweat-wicking, quick-drying and breathable and provides a full range of natural motion.","Style: BV3765-639","Colour Shown: Hyper Pink/Phantom","Machine wash","null","SUPPORT AND STYLE JOIN FORCES.
The Nike Sports Bra is designed for medium-impact sports such as cycling, running or light training in the gym. It is sweat-wicking, quick-drying and breathable and provides a full range of natural motion.
BenefitsSoft, Dri-FIT fabric moves sweat from your skin for quicker evaporation to help you stay dry, comfortable and focused.All-over print is eye-catching and has a compressive feel.
Product DetailsTight fit for a body-hugging feelFabric: 88% recycled polyester/12% elastaneMachine washImportedColour Shown: Hyper Pink/PhantomStyle: BV3765-639Country/Region of Origin: Sri Lanka
MADE FROM SUSTAINABLE MATERIALSThis product is made from at least 50% recycled polyester fabric. The material comes from plastic bottles that Nike has diverted from landfill since 2010—bringing Nike's total to more than 6 billion."
"1573329527-11959","https://www.nike.com/sg/w/womens-sports-bras-40qgmz5e1x6","Nike x AMBUSH","https://www.nike.com/sg/t/ambush-bra-N893tv/CJ7683-315","Women's Bra","Nike x AMBUSH","$89","The Nike x AMBUSH Bra features a colour-blocked design inspired by Yoon Ahn's mixing of street style and culture. Details like the ""11"" double as a nod to designer Ahn's favourite digits and the number of players allowed on the pitch per team. It's lightly padded for enhanced coverage and shaping so you can tackle your workout with confidence.","Style: CJ7683-315","Colour Shown: Lime Blast/Black","AMBUSH logo and number ""11"" on the chest","Style: CJ7683-315","STREET STYLE MEETS THE BEAUTIFUL GAME.
The Nike x AMBUSH Bra features a colour-blocked design inspired by Yoon Ahn's mixing of street style and culture. Details like the ""11"" double as a nod to designer Ahn's favourite digits and the number of players allowed on the pitch per team. It's lightly padded for enhanced coverage and shaping so you can tackle your workout with confidence.
BenefitsDri-FIT Technology helps you stay dry, comfortable and focused.The stretchy fabric provides support that moves with you.
Product DetailsMedium supportSwoosh design on the chestAMBUSH logo and number ""11"" on the chestFabric: 88% recycled polyester/12% elastaneMachine washImportedColour Shown: Lime Blast/BlackStyle: CJ7683-315Country/Region of Origin: Sri Lanka"
"1573329555-11965","https://www.nike.com/sg/w/womens-sports-bras-40qgmz5e1x6","Nike Favourites","https://www.nike.com/sg/t/favourites-light-support-sports-bra-Mhqhvc/BV3882-010","Women's Light-Support Sports Bra","Nike Favourites","$55","Designed for women of all body types, the Nike Favourites Sports Bra provides the perfect combination of lightweight breathability and support for low-impact activities like yoga, barre and Pilates.","Style: BV3882-010","Colour Shown: Black/White","Removable pads add versatility.","null","A LIGHT-IMPACT TRAINING ESSENTIAL.
Designed for women of all body types, the Nike Favourites Sports Bra provides the perfect combination of lightweight breathability and support for low-impact activities like yoga, barre and Pilates.
BenefitsDri-FIT Technology moves sweat from your skin for quicker evaporation to help you stay dry, comfortable and focused.An adjustable front tie is a fixed detail that can be used to customise the fit and feel.Removable pads add versatility.
Product DetailsTight fit for a body-hugging feelFabric: Body/lining: 80% polyester/20% elastane. Interlining: 88% recycled polyester/12% elastane. Pad top fabric/pad back fabric: 100% polyester. Pad: 100% polyurethane.Machine washImportedColour Shown: Black/WhiteStyle: BV3882-010Country/Region of Origin: Sri Lanka"
"1573329709-11985","https://www.nike.com/sg/w/womens-sports-bras-40qgmz5e1x6","Nike Classic Swoosh Futura","https://www.nike.com/sg/t/classic-swoosh-futura-support-sports-bra-NDQZsv/899371-100","Women's Medium-Support Sports Bra","Nike Classic Swoosh Futura","$42","For medium-impact sports like cycling, dance and cardio classes, the Nike Classic Swoosh Futura Women's Medium Support Sports Bra offers lasting comfort with sweat-wicking fabric and a snug fit.","Style: 899371-100","Colour Shown: White/Black","Racerback design allows full range of motion","Style: 899371-100","MEDIUM-IMPACT SUPPORT
For medium-impact sports like cycling, dance and cardio classes, the Nike Classic Swoosh Futura Women's Medium Support Sports Bra offers lasting comfort with sweat-wicking fabric and a snug fit. 
BenefitsDri-FIT Technology helps keep you dry and comfortableSoft elastic underbust band for supportRacerback design allows full range of motion
Product DetailsFabric: 88% recycled polyester/12% elastaneMachine washImportedColour Shown: White/BlackStyle: 899371-100Country/Region of Origin: Sri Lanka"
"1573329648-11974","https://www.nike.com/sg/w/womens-sports-bras-40qgmz5e1x6","Nike","https://www.nike.com/sg/t/support-floral-sports-bra-Wxp0xJ/CD6781-790","Women's Medium-Support Floral Sports Bra","Nike","$55","The Nike Sports Bra combines style and support with a photo-realistic floral print on stretchy, sweat-wicking fabric. Pair with the Nike One Tights for a matching set ideal for gym, spin, cross-training and running.","Style: CD6781-790","Colour Shown: Wheat/Black/White","Removable pads let you switch up your shape and feel.","null","MEDIUM SUPPORT WITH FLOWER POWER.
The Nike Sports Bra combines style and support with a photo-realistic floral print on stretchy, sweat-wicking fabric. Pair with the Nike One Tights for a matching set ideal for gym, spin, cross-training and running.
BenefitsDri-FIT Technology moves sweat from your skin to help you stay dry and comfortable.High-neck, long-line design gives you extra coverage.Removable pads let you switch up your shape and feel.Mesh racerback helps increase breathability.
Product DetailsBody: 74% polyester, 26% elastane. Back panel: 81% polyester, 19% elastane. Lining: 80% polyester, 20% elastane. Pad top/back fabric: 100% polyester. Pad: 100% polyurethane.Machine washImportedColour Shown: Wheat/Black/WhiteStyle: CD6781-790Country/Region of Origin: Sri Lanka"
"1573329685-11980","https://www.nike.com/sg/w/womens-sports-bras-40qgmz5e1x6","Nike","https://www.nike.com/sg/t/light-support-sports-bra-w2rR4l/BV4898-010","Women's Light-Support Sports Bra","Nike","$69","Look like a baller, feel like a queen. The Nike Sports Bra plays off basketball jerseys and a nothing-but-net attitude in this stretchy, strappy design.","Style: BV4898-010","Colour Shown: Black/White/Metallic Gold/White","Strappy back design is reminiscent of the basketball net.","Country/Region of Origin: Vietnam","GLAM DUNK STYLE.
Look like a baller, feel like a queen. The Nike Sports Bra plays off basketball jerseys and a nothing-but-net attitude in this stretchy, strappy design.
BenefitsDri-FIT Technology wicks sweat to help keep you dry and comfortable.Shimmering elastic straps match the stripes from basketball kits.Strappy back design is reminiscent of the basketball net.Removable pads let you switch up the shape and feel.
Product DetailsTight fit for a body-hugging feelDesigned for low-impact activities like yoga, Pilates and barre and everyday wearBody: 66% nylon/34% elastane. Bra/lining: 88% recycled polyester/12% elastane. Bra mesh: 78% polyester/22% elastane. Elastic: 65% nylon/23% polyester/12% elastane. Bottom hem: 86% nylon/14% elastane. Pad fabric: 100% polyester. Pad: 100% polyurethane.Machine washImportedColour Shown: Black/White/Metallic Gold/WhiteStyle: BV4898-010Country/Region of Origin: Vietnam"
"1573329544-11963","https://www.nike.com/sg/w/womens-sports-bras-40qgmz5e1x6","Nike Rebel Swoosh","https://www.nike.com/sg/t/rebel-swoosh-jdi-support-sports-bra-tdrNbX/BV3917-372","Women's JDI Medium-Support Sports Bra","Nike Rebel Swoosh","null","The Nike Rebel Swoosh Women's JDI Medium-Support Sports Bra is designed for medium-impact sports such as cycling, running or training in the gym, and features a graphic across the front.","Style: BV3917-372","Colour Shown: Jade Horizon/Black","Imported","null","QUICK-DRYING SUPPORT AND COMFORT THAT INSPIRES.
The Nike Rebel Swoosh Women's JDI Medium-Support Sports Bra is designed for medium-impact sports such as cycling, running or training in the gym, and features a graphic across the front.
BenefitsDri-FIT Technology moves sweat from your skin for quicker evaporation to help you stay dry and comfortable.A classic racerback design provides a full-range of motion.
Product DetailsFabric: 88% recycled polyester/12% elastaneMachine washImportedColour Shown: Jade Horizon/BlackStyle: BV3917-372Country/Region of Origin: Sri Lanka
MADE FROM SUSTAINABLE MATERIALSThis product is made from at least 50% recycled polyester fabric. The material comes from plastic bottles that Nike has diverted from landfill since 2010—bringing Nike's total to more than 6 billion."
"1573329595-11971","https://www.nike.com/sg/w/womens-sports-bras-40qgmz5e1x6","Nike Yoga","https://www.nike.com/sg/t/yoga-light-support-sports-bra-d0ht1j/BV4865-661","Women's Light-Support Sports Bra","Nike Yoga","$55","The Nike Yoga Sports Bra is made from soft, quick-drying fabric. The strappy design is breathable and lightweight so you can focus on your flow.","Style: BV4865-661","Colour Shown: Cedar/Light Redwood/Black","Machine wash","null","BREATHABLE AND FLEXIBLE.
The Nike Yoga Sports Bra is made from soft, quick-drying fabric. The strappy design is breathable and lightweight so you can focus on your flow.
BenefitsNike Dri-FIT Technology helps you stay dry, comfortable and focused.Removable pads let you adjust your shape and support.
Product DetailsTight fit for a body-hugging feelBody: 83% polyester, 17% elastane. Bottom hem: 86% nylon, 14% elastane. Lining: 80% polyester, 20% elastane. Pad fabric: 100% polyester. Pad: 100% polyurethane.Machine washImportedColour Shown: Cedar/Light Redwood/BlackStyle: BV4865-661Country/Region of Origin: Sri Lanka"
"1573329521-11958","https://www.nike.com/sg/w/womens-sports-bras-40qgmz5e1x6","Nike Swoosh","https://www.nike.com/sg/t/swoosh-support-sports-bra-cb3pw9/BV4889-010","Women's Medium-Support Sports Bra","Nike Swoosh","$59","The Nike Swoosh Sports Bra has Dri-FIT Technology that wicks sweat to keep you focused on working out. The strappy design and front cut-out give you ventilation when you're sweating hard.","Style: BV4889-010","Colour Shown: Black/White","Removable pads let you switch up the shape and feel.","null","SWEAT-WICKING, BREATHABLE SUPPORT.
The Nike Swoosh Sports Bra has Dri-FIT Technology that wicks sweat to keep you focused on working out. The strappy design and front cut-out give you ventilation when you're sweating hard.
BenefitsNike Dri-FIT Technology helps you stay dry, comfortable and focused.Strappy back and cut-out on the front allow breathability.Removable pads let you switch up the shape and feel.Designed for medium-impact activities like cycling, dance and cardio classes.
Product DetailsTight fit for a body-hugging feelBody: 88% recycled polyester/12% elastane. Bottom hem: 86% nylon/14% elastane. Lining: 80% polyester/20% elastane. Pad fabric: 100% polyester. Pad: 100% polyurethane.Machine washImportedColour Shown: Black/WhiteStyle: BV4889-010Country/Region of Origin: Sri Lanka
MADE FROM SUSTAINABLE MATERIALSThis product is made from at least 50% recycled polyester fabric. The material comes from plastic bottles that Nike has diverted from landfill since 2010—bringing Nike's total to more than 6 billion."
"1573329676-11977","https://www.nike.com/sg/w/womens-sports-bras-40qgmz5e1x6","Nike Flyknit Indy","https://www.nike.com/sg/t/flyknit-indy-support-sports-bra-BzkZQ2/AQ0161-010","Women's Medium-Support Sports Bra","Nike Flyknit Indy","$99","Delivering stretch and support, the Nike Flyknit Indy Sports Bra takes a cue from Flyknit footwear, contouring to your shape in a single layer of soft fabric. Its subtle V-neck design and thin, adjustable straps lend a feminine look to this work of artful engineering.","Style: AQ0161-010","Colour Shown: Black/Pure Platinum","Subtle V-neck design and thin straps for a feminine look.","null","FLYKNIT GETS FEMININE.
Delivering stretch and support, the Nike Flyknit Indy Sports Bra takes a cue from Flyknit footwear, contouring to your shape in a single layer of soft fabric. Its subtle V-neck design and thin, adjustable straps lend a feminine look to this work of artful engineering.
BenefitsSweat-wicking fabric helps keep you dry and comfortable.Flyknit construction integrates areas of stretch and support.Subtle V-neck design and thin straps for a feminine look.Adjustable straps for a custom fit.Minimal seams for a smooth feel against the skin.
Product DetailsFabric: Body: 62% nylon/38% elastane. Binding: 77% nylon/23% elastane. Lining: 80% polyester/20% elastane. Pad top fabric/pad back fabric: 100% polyester. Pad: 100% polyurethane.Machine washImportedColour Shown: Black/Pure PlatinumStyle: AQ0161-010Country/Region of Origin: Sri Lanka"
"1573329516-11957","https://www.nike.com/sg/w/womens-sports-bras-40qgmz5e1x6","Nike Swoosh","https://www.nike.com/sg/t/swoosh-support-sports-bra-gDZMnL/CJ0315-010","Women's Medium-Support Sports Bra","Nike Swoosh","$59","Designed for women of all shapes and sizes who run, bike, cross-train or hit the gym, the Nike Swoosh Women's Sports Bra provides quick-drying breathability and medium support in a high-neck, long-line design.","Style: CJ0315-010","Colour Shown: Black/Thunder Grey","A high-neck, longer design adds extra coverage.","null","COMFORT AND SUPPORT FOR ANY SHAPE.
Designed for women of all shapes and sizes who run, bike, cross-train or hit the gym, the Nike Swoosh Women's Sports Bra provides quick-drying breathability and medium support in a high-neck, long-line design.
BenefitsDri-FIT Technology moves sweat from your skin for quicker evaporation to help you stay dry and comfortable.A racerback design adds breathability and allows for a full-range of motion.A high-neck, longer design adds extra coverage.Removable pads add versatility.
Product DetailsFabric: Body/lining: 88% recycled polyester/12% elastane. Interlining: 80% polyester/20% elastane. Pad top fabric/pad back fabric: 100% polyester. PAD: 100% polyurethane.Machine washImportedColour Shown: Black/Thunder GreyStyle: CJ0315-010Country/Region of Origin: Sri Lanka
MADE FROM SUSTAINABLE MATERIALSThis product is made from at least 50% recycled polyester fabric. The material comes from plastic bottles that Nike has diverted from landfill since 2010—bringing Nike's total to more than 6 billion."
"1573329568-11968","https://www.nike.com/sg/w/womens-sports-bras-40qgmz5e1x6","Nike x MadeMe","https://www.nike.com/sg/t/mademe-bra-t514cK/CJ7688-687","Women's Bra","Nike x MadeMe","$89","Erin Magee brings her '90s infused, female-first sensibility to the pitch with the Nike x MadeMe Bra. Its stretchy, medium-support design is highlighted by a Goddess of Victory graphic across the front, showing off a message of empowerment. It's lightly padded for enhanced coverage and shaping so you can tackle your workout with confidence.","Style: CJ7688-687","Colour Shown: Gym Red/Deep Royal Blue","Racerback straps","Imported","STRETCHY SUPPORT.
Erin Magee brings her '90s infused, female-first sensibility to the pitch with the Nike x MadeMe Bra. Its stretchy, medium-support design is highlighted by a Goddess of Victory graphic across the front, showing off a message of empowerment. It's lightly padded for enhanced coverage and shaping so you can tackle your workout with confidence.
BenefitsDri-FIT Technology helps you stay dry and comfortable.The stretchy fabric provides support that moves with you.
Product DetailsMedium supportSublimated Nike, Goddess of Victory graphicRacerback strapsSwoosh design trademark and MadeMe graphic at the centre-front3 embroidered stars at the centre-backFabric: 88% recycled polyester/12% elastaneMachine washImportedColour Shown: Gym Red/Deep Royal BlueStyle: CJ7688-687Country/Region of Origin: Sri Lanka"
"1573329715-11986","https://www.nike.com/sg/w/womens-sports-bras-40qgmz5e1x6","Nike Alpha","https://www.nike.com/sg/t/alpha-high-support-sports-bra-62CvPl/AJ0844-010","Women's High-Support Sports Bra","Nike Alpha","$69","The highly supportive, form-fitting Nike Alpha High-Support Sports Bra features moulded cups for an encapsulated fit. Designed for high-impact activities like basketball and football, it offers a modified racerback design for a natural range of motion.","Style: AJ0844-010","Colour Shown: Black/White","Adjustable back clasp for easy on and off.","null","NATURAL SHAPE. NO SQUASHING.
The highly supportive, form-fitting Nike Alpha High-Support Sports Bra features moulded cups for an encapsulated fit. Designed for high-impact activities like basketball and football, it offers a modified racerback design for a natural range of motion.
BenefitsCups help keep your natural shape.Perforations for breathability where you need it.Adjustable back clasp for easy on and off.Dri-FIT Technology helps keep you dry and comfortable.Modified racerback design lets you move freely.
Product DetailsFabric: Body/back lining insets: 79% nylon/21% elastane. Mesh/mesh lining: 81% nylon/19% elastane. PAD: 100% polyurethane. Pad back fabric: 100% polyester.Machine washImportedColour Shown: Black/WhiteStyle: AJ0844-010Country/Region of Origin: Vietnam,China"
